ID	baseMean	log2FoldChange	padj	Label
LOXL1	4120.2	0.5	1.743e-06	-
FSTL3	1784.4	-1.7	1.778e-06	-
ZDHHC9	1588	-0.7	1.795e-06	-
ARL6IP5	5758.3	-0.5	1.844e-06	-
GALNT15	13884.4	-1.5	1.846e-06	-
MAFK	797	-0.8	1.937e-06	-
CD302	3721.2	-1.8	1.943e-06	-
SGTB	560.2	-0.8	1.98e-06	-
PREP	634.1	-0.5	2.063e-06	-
AC005674.2	64.1	-1.3	2.111e-06	-
STX12	1715.7	-0.8	2.164e-06	-
G0S2	41.4	2.6	2.185e-06	-
ADARB1	1874.4	-2.2	2.185e-06	-
LGI3	20.2	-5	2.203e-06	-
PRKAG2	1004.8	-1.5	2.205e-06	-
ABCA6	2375.3	-1	2.296e-06	-
TGFB2	209.1	1.7	2.397e-06	-
SIPA1L2	128.9	3	2.399e-06	-
KLF5	158.3	-2.6	2.482e-06	-
PARP2	224	0.8	2.573e-06	-
ARRDC4	1269.7	0.7	2.573e-06	-
NEDD4L	1332.1	1	2.668e-06	-
TTC3	6871.7	0.6	2.824e-06	-
LEP	118.2	-3.1	2.849e-06	-
STAT3	7824.3	-0.5	3.005e-06	-
MEG3	11086	0.5	3.228e-06	-
MAGED1	4810.1	0.7	3.243e-06	-
CCDC34	67.2	1.3	3.322e-06	-
WBP1L	2558.6	-0.7	3.356e-06	-
STAT5B	1528.9	-0.4	3.356e-06	-
P2RX7	158.4	1.8	3.432e-06	-
CCN1	5198.7	-1.8	3.448e-06	-
CHCHD7	393.3	-0.7	3.533e-06	-
FAM20A	1105.2	-1.1	3.56e-06	-
C7	2034.6	-3.3	3.591e-06	-
MPST	583.2	-0.9	3.591e-06	-
VMP1	3112.7	-0.5	3.696e-06	-
GPRC5B	2956.2	-1.8	3.79e-06	-
HERPUD1	2277.5	-0.7	3.857e-06	-
SMAD3	4829.2	0.5	4.055e-06	-
GMFB	1856.1	-0.6	4.055e-06	-
CPM	879.9	-1.5	4.1e-06	-
SEMA3A	721.5	1.2	4.106e-06	-
TLE5	5454.8	-0.4	4.206e-06	-
ABHD5	1771.1	-1	4.263e-06	-
AIF1L	85.6	2.4	4.656e-06	-
ING2	368.6	-1.1	4.656e-06	-
ASB13	282.7	-0.8	4.656e-06	-
CDKN2B	508.1	1.4	4.755e-06	-
SEMA6D	279.8	1.1	4.842e-06	-
PLXNB1	3448.9	-0.7	4.94e-06	-
ARRDC2	308.7	-0.7	4.954e-06	-
FAM49A	310.6	0.8	4.969e-06	-
VGLL3	12520.3	-1.2	5.02e-06	-
RSPO1	608.4	-1.4	5.032e-06	-
MRPL49	740.3	0.5	5.075e-06	-
COL4A2	4477.7	-0.9	5.185e-06	-
PTPRG	3380.2	-0.9	5.208e-06	-
ALDH4A1	473	-0.8	5.291e-06	-
WDR63	95.6	1.9	5.291e-06	-
YARS	1242.8	0.7	5.559e-06	-
RGMB	2407.5	0.9	5.639e-06	-
ADAMTS5	3796.9	-2.1	5.889e-06	-
AGPAT2	588.6	-0.6	5.919e-06	-
KCNE3	161.3	1.2	5.919e-06	-
DHTKD1	577.2	-0.6	6.054e-06	-
ZMYM3	1005	0.5	6.082e-06	-
SLC39A10	782.5	1.1	6.097e-06	-
ZBTB22	387.7	0.6	6.335e-06	-
NR4A1	245.5	-1.3	6.616e-06	-
TNFAIP3	360.8	-0.8	6.734e-06	-
ACIN1	4252.5	0.4	6.785e-06	-
RALBP1	3366.9	-0.5	6.863e-06	-
SLC25A32	527.9	-0.8	7.112e-06	-
PREB	1732.5	-1.1	7.126e-06	-
NR3C1	2813.7	0.9	7.192e-06	-
HSPA2	459.9	-2.5	7.232e-06	-
GORASP1	984.6	-0.5	7.254e-06	-
RBPJ	5952.3	0.7	7.406e-06	-
AL513327.1	94	-1	7.637e-06	-
DUSP5	401.9	-1.3	7.697e-06	-
MARS	1684.6	0.5	7.926e-06	-
PEG10	561.5	0.9	8.198e-06	-
S1PR1	242	1.3	8.237e-06	-
CASP3	519.8	-0.7	8.369e-06	-
GPRASP2	361.8	0.9	8.403e-06	-
MCL1	5945.6	-0.6	8.511e-06	-
AC010255.1	33.3	-2.1	8.622e-06	-
PRKCE	399.5	1.1	8.837e-06	-
NUDT16	1302.3	-0.6	8.837e-06	-
BTN3A3	723.6	0.7	8.908e-06	-
TNFAIP6	316.3	2.4	8.908e-06	-
GNG10	890.4	-0.4	9.02e-06	-
GPR153	620	0.8	9.362e-06	-
NCKAP5	113	2.2	9.613e-06	-
TSC22D1-AS1	97	-0.9	9.613e-06	-
PDE5A	7411.6	1.1	9.648e-06	-
NT5DC1	515.1	0.7	1.022e-05	-
AOX1	4411.7	-1.4	1.029e-05	-
SLC35C1	739	-0.7	1.029e-05	-
PIFO	78.2	1.3	1.042e-05	-
TMEM35A	782.7	1.6	1.089e-05	-
GRIK1-AS1	12.2	-3.1	1.12e-05	-
ST8SIA1	202.9	1.4	1.158e-05	-
TXNDC11	721.1	-0.5	1.166e-05	-
MEST	949.7	2	1.173e-05	-
ANKRD13A	6697	-0.6	1.186e-05	-
CDC14B	2326.7	-0.8	1.222e-05	-
ANKMY2	340.8	0.6	1.222e-05	-
EVA1C	129.8	-1.4	1.222e-05	-
C20orf96	110	1	1.222e-05	-
PLB1	105.1	-1.9	1.238e-05	-
RPS6KA2	11121.9	-0.9	1.28e-05	-
TSPAN11	262.8	1.5	1.341e-05	-
AC092683.1	365.7	0.7	1.341e-05	-
IGF2BP2	2467.1	-0.8	1.356e-05	-
RRP9	201.4	-0.9	1.38e-05	-
AC007620.2	170.4	-0.9	1.399e-05	-
ATP1A1	6519.7	-0.4	1.408e-05	-
HSPB3	81.8	-2.3	1.435e-05	-
HSPA4L	633.6	1.3	1.437e-05	-
CIDEC	19.5	-3.4	1.443e-05	-
AHCTF1	1855.9	-1.2	1.453e-05	-
AC098847.1	73	-1.5	1.461e-05	-
TUBE1	268.1	0.7	1.469e-05	-
SRM	1245	-0.7	1.475e-05	-
AC097534.2	135.7	-1.1	1.475e-05	-
DGLUCY	534.9	0.8	1.544e-05	-
RAB31	3776.8	-0.9	1.648e-05	-
ST6GALNAC6	3392.6	-0.4	1.65e-05	-
UAP1	1584.7	-0.6	1.683e-05	-
FERMT2	3844.1	-0.6	1.712e-05	-
VSTM4	2300.8	-0.6	1.712e-05	-
AC092807.3	57.2	-1.8	1.716e-05	-
ARHGDIA	4518.3	-0.4	1.745e-05	-
TASP1	134.6	-0.7	1.769e-05	-
SDC1	419.1	1	1.777e-05	-
FIBIN	2416.7	-1.2	1.807e-05	-
LGR4	389.3	1.1	1.892e-05	-
YPEL4	169.7	1.3	1.939e-05	-
TRO	652.6	0.7	1.955e-05	-
TMCC2	143.8	1	1.955e-05	-
MTMR14	595.3	-0.5	1.955e-05	-
ANKRD36B	153.8	0.8	1.955e-05	-
STAT5A	800.7	-0.7	1.967e-05	-
TEAD2	557.4	0.7	1.97e-05	-
SYDE1	1383.4	-0.5	2.007e-05	-
SLC2A12	1009.8	0.8	2.036e-05	-
SCARA3	2106.7	0.5	2.036e-05	-
TNFSF13B	58.6	1.3	2.062e-05	-
FBXO32	3711.9	-1.1	2.062e-05	-
TUBB3	521.1	1.4	2.062e-05	-
UBE2J1	1405.2	-0.4	2.172e-05	-
USP31	299.1	-0.6	2.201e-05	-
NEXN-AS1	50.6	-1.2	2.22e-05	-
PHGDH	1253.2	1.4	2.233e-05	-
LRCH2	370.7	-0.7	2.32e-05	-
ANG	183.6	-1	2.324e-05	-
BTN3A1	689	0.8	2.416e-05	-
PRKD1	772.2	-0.6	2.437e-05	-
EDA2R	1086.2	0.9	2.476e-05	-
ANGPTL1	244.1	-2.1	2.486e-05	-
RANBP3	1536.6	0.6	2.528e-05	-
HSP90AB1	10518.4	0.3	2.54e-05	-
ADCY4	108	1.3	2.598e-05	-
ZNF561	612	0.7	2.644e-05	-
TGIF1	1005.3	-0.9	2.67e-05	-
FAM107B	2300.5	1.1	2.69e-05	-
BRIX1	495.4	-0.9	2.734e-05	-
MXRA5	4722	1.3	2.761e-05	-
CLIC4	17421.7	-0.8	2.814e-05	-
ZNF79	133.4	0.7	2.828e-05	-
ACTB	86230.1	-0.9	2.944e-05	-
PKDCC	1553.8	-1.5	2.952e-05	-
ARL4C	1222.6	0.7	2.996e-05	-
IFT88	222.4	0.6	2.999e-05	-
SLC16A2	1298.3	0.4	3.018e-05	-
MAP3K5	1538.1	-0.7	3.113e-05	-
MYL12A	5352	-0.8	3.205e-05	-
CBX1	1457.3	0.4	3.237e-05	-
NECTIN1	152.2	1	3.276e-05	-
MOB3B	52.7	-2	3.276e-05	-
SALL2	384.3	0.7	3.311e-05	-
DCHS1	2050	0.6	3.446e-05	-
DTNA	317.7	0.9	3.493e-05	-
ABHD10	329.9	0.6	3.504e-05	-
MEX3A	49.6	1.9	3.784e-05	-
CDC42EP3	1501.8	-1.3	3.786e-05	-
ARMCX6	608.5	0.6	3.792e-05	-
GNPDA1	1583.6	0.6	3.811e-05	-
KLHL13	411.4	0.9	3.849e-05	-
SEH1L	385.9	-0.7	3.849e-05	-
RND3	17523.4	0.7	4.004e-05	-
SRPX	4339.7	-0.9	4.034e-05	-
PDCD4	2679.6	0.6	4.079e-05	-
HMOX1	2399	1.3	4.084e-05	-
SH3RF3	795	-0.9	4.084e-05	-
CNN2	9659.1	-0.7	4.097e-05	-
SGCD	2100.5	1.1	4.23e-05	-
ISCA1	731	-0.5	4.36e-05	-
PPIAP39	39.9	-2.4	4.378e-05	-
KCNQ3	19.4	-3	4.397e-05	-
RPLP0P2	28.1	2.1	4.414e-05	-
B4GALT1	3239.2	0.5	4.425e-05	-
CCDC71L	1076	-1	4.465e-05	-
MAPRE2	687.5	0.7	4.502e-05	-
PLPP3	25683.9	0.9	4.551e-05	-
CXXC5	671	0.6	4.605e-05	-
